id	name	example
aag	Ancient Aliens Guy	 aliens
ackbar	It's A Trap!	 it's a trap!
afraid	Afraid to Ask Andy	i don't know what this meme is for and at this point i'm too afraid to ask
agnes	Agnes Harkness Winking	 i have read and agree to the terms and conditions
aint-got-time	Sweet Brown / Ain't Nobody Got Time For That	memes? ain't nobody got time fo' that
ams	Awkward Moment Seal	when you're watching a movie and your parents walk in at the sex scene
ants	Do You Want Ants?	do you want ants? because that's how you get ants
apcr	Almost Politically Correct Redneck	I supported my sister's abortion Still would have been cool to be a dad
astronaut	Always Has Been	Wait, it's round? Always has been Flat Earther Science
atis	And Then I Said	and then i said the exam will only contain what we've covered in lectures
away	Life... Finds a Way	life... finds a way
awesome	Socially Awesome Penguin	say a word wrong create hilarious inside joke
awesome-awkward	Socially Awesome Awkward Penguin	first day at new job spill coffee on bossman
awkward	Socially Awkward Penguin	start telling joke forget punchline
awkward-awesome	Socially Awkward Awesome Penguin	trip guy on the street he was running with a stolen purse
bad	You Should Feel Bad	your meme is bad and you should feel bad
badchoice	Milk Was a Bad Choice	milk was a bad choice
bd	Butthurt Dweller	can't workout don't want to get too buff
because	Men in Black / Will Smith	Just because you see a Black man driving in a nice car... does not mean it's stolen. ...I stole that one, but not 'cause I'm Black!
bender	I'm Going to Build My Own Theme Park	i'm going to build my own theme park with blackjack and hookers
bihw	But It's Honest Work	it ain't much but it's honest work
bilbo	Why Shouldn't I Keep It / Bilbo Baggins	After all... why not? Why shouldn't I keep it?
biw	Baby Insanity Wolf	gets iced coffee in the winter
blb	Bad Luck Brian	falls asleep in class has a wet dream
boat	I Should Buy a Boat Cat	 i should buy a boat
bongo	Bongo Cat	Any sound when you're trying to sleep Max volume alarm when you have to wake up
both	Why Not Both?	hard or soft tacos why not both?
box	What's in the box!? / Seven	 What's in the box!?
bs	This is Bull, Shark	what a surprise... you caught me again
buzz	X, X Everywhere	memes memes everywhere
cake	Office Space Milton	 I was told there would be cake
captain	I am the Captain Now	look at me i am the captain now
captain-america	Captain America Elevator Fight Dad Joke	Have you ever eaten a clock? No, why? It's time consuming.
cb	Confession Bear	i stole the pic-i-nic basket
cbb	Communist Bugs Bunny	 our memes!
cbg	Comic Book Guy	 worst thing ever!
center	What is this, a Center for Ants?!	what is this a center for ants
ch	Captain Hindsight	if you wanted to avoid the friend zone you should have made your intentions known from the start
chair	American Chopper Argument	Let's expand safety nets Socialism never works! Scandinavia is socialist and they're doing great! They're not socialist. They're capitalist with strong welfare policies! Then let's adopt those! No that's socialism!!
cheems	Cheems	it's a good time to sleep nothing will go wrong after this
chosen	You Were the Chosen One!	you were the chosen one!
cmm	Change My Mind	pineapples don't belong on pizza
country	What a Country / Dr. Nick	Inflammable means flammable? What a country!
crazypills	I Feel Like I'm Taking Crazy Pills	 i feel like i'm taking crazy pills
crow	Get Better Material	Caw Caw Caw Caw Caw Caw Caw Caw Caw
cryingfloor	Crying on Floor	it's okay lets just reschedule drinking
db	Distracted Boyfriend	Socialism The Youth Capitalism
dbg	Disappointed Black Guy / Expectation vs. Reality	Clicking the 'X' on a mobile ad The 'X' is part of the ad
dg	Distracted Girlfriend	Socialism The Youth Capitalism
disastergirl	Disaster Girl	 just as I planned...
dodgson	See? Nobody Cares	we've got dodgson here! see? nobody cares
doge	Doge	such meme very skill
dragon	What Color Do You Want Your Dragon	OK I want a boyfriend
drake	Drakeposting	left on unread left on read
drowning	Drowning High Five	Me Asking for Help Online Commenter I'm having that problem too.
drunk	Drunk Baby	Walk in a straight line? Officer, I can barely stand
ds	Daily Struggle	The dress is black and blue. The dress is gold and white.
dsm	Dating Site Murderer	they will never find your body as attractive as i do
dwight	Schrute Facts	love is all you need? false. you need water and rations.
elf	You Sit on a Throne of Lies	 you sit on a throne of lies
elmo	Elmo Choosing Cocaine	Historical Accuracy History Channel Aliens Historical Accuracy
